Short name,Description,Maintainer,Long name,Version,Category,Layer,Scope,MIMs,Docs,Git,D3.7?,Rationale (D3.7),D2.8?,Rationale (2.8),KH?,Rationale (KH),Index
AI Fairness 360,Helps ensure that AI models used in LDTs behave fairly and transparently across populations.,The Linux Foundation,AI Fairness 360,v0.6.1,Framework,Knowledge,AI for Smart Cities,MIM5,https://aif360.readthedocs.io/en/stable/,https://github.com/Trusted-AI/AIF360,N,Not WS1 relevant (WS3),Y,,N,,82
Alibi Explain,"Provides explainability for ML models, enabling interpretable AI components inside LDT services.",SeldonIO,Alibi Explain: Algorithms for Explaining ML Models,N/A,Framework,Knowledge,AI for Smart Cities,MIM5,https://docs.seldon.ai/alibi-explain/,https://github.com/SeldonIO/alibi,N,Not WS1 relevant (WS3),Y,,N,,81
Babylon.js,Enables rich 3D visualisations for rendering interactive city or asset twins in the browser.,BabylonJS,Babylon.js,v8.0,Tool / implementation,Visualisation,Local Digital Twins (LDTs),MIM1,https://doc.babylonjs.com/features/introductionToFeatures,https://github.com/BabylonJS/Babylon.js,N,,Y,,N,,21
BIM,Provides structured building-information data that can be integrated into a city’s LDT for asset-level modelling.,N/A,Building Information Modelling,N/A,Framework,Data sources,Local Digital Twins (LDTs),"MIM8, MIM7",https://en.wikipedia.org/wiki/Building_information_modeling,,N,"Concept, not resource",Y,,Y,,1
CAMSS,"Helps pilots select interoperable, standards-based components through European Commission assessment criteria.",Interoperable Europe,Common Assessment Method for Standards and Specifications,N/A,Framework,Interoperability,Interoperability,"MIM0, MIM1, MIM2, MIM3, MIM6, MIM7",https://interoperable-europe.ec.europa.eu/collection/common-assessment-method-standards-and-specifications-camss,https://interoperable-europe.ec.europa.eu/collection/common-assessment-method-standards-and-specifications-camss/camss-solutions,Y,,Y,,Y,,69
CARLA,Provides realistic mobility simulation to test autonomous or transport scenarios within an LDT.,"CARLA team (Computer Vision Center, UAB)",CARLA Unreal Engine 4,Multiple branches (UE4 / UE5),Tool / implementation,Knowledge,AI for Smart Cities,"MIM3, MIM8",https://carla.readthedocs.io/en/latest/,https://github.com/carla-simulator/carla,N,Not WS1 relevant (WS3),Y,,N,,76
CIM,"Standardises city information models, helping pilots structure data for semantic interoperability across twins.",,City Information Modelling,,Framework,Interoperability,Local Digital Twins (LDTs),"MIM3, MIM7, MIM1",,,N,"Concept, not resource",Y,,Y,,2
CityJSON,Lightweight format for 3D city models enabling large-scale spatial data exchange between LDT components.,CityJSON developers (TU Delft & community),CityJSON (JSON encoding of CityGML),v2.0.1,Standard,Data sources,Local Digital Twins (LDTs),"MIM3, MIM8, MIM7",https://www.cityjson.org/,https://github.com/cityjson/specs,N,,Y,,Y,,3
Community Solid Server,Enables decentralised storage and controlled access to personal or device data within LDT ecosystems.,Solid Project,Community Solid Server,v8.0,Tool / implementation,Data sources,,"MIM3, MIM4, MIM8, MIM1, MIM0",https://www.npmjs.com/package/@solid/community-server,https://github.com/CommunitySolidServer/CommunitySolidServer,N,,N,,,,90
Comunica,Executes federated RDF/SPARQL queries across distributed data sources for cross-LDT data federation.,IDLab (Ghent University – imec) & community,Comunica Modular SPARQL/Linked Data query engine,v4.5.0,Tool / implementation,Data acquisition,,"MIM1, MIM8, MIM3, MIM0",https://comunica.dev/docs/,https://github.com/comunica/comunica,Y,,N,,Y,,88
D3.js,Enables custom interactive visualisations for insights derived from LDT data.,Observable Platform,D3.js,v7.9.0,Tool / implementation,Visualisation,Local Digital Twins (LDTs),"MIM8, MIM7",https://d3js.org/,https://github.com/d3/d3,N,,Y,,N,,22
DCAT,Standard vocabulary for describing datasets so LDT data can be catalogued and discovered.,W3C,Data Catalog Vocabulary,v3.0,Standard,Interoperability,Data spaces,"MIM1, MIM0, MIM3",https://www.w3.org/TR/vocab-dcat-3/,,N,,Y,,Y,,6
DCAT-AP,EU metadata profile ensuring LDT datasets can be published into interoperable data catalogs.,SEMIC,DCAT Application Profile for data portals in Europe,v3.0.0,Standard,Interoperability,Data spaces,"MIM0, MIM3, MIM1",https://interoperable-europe.ec.europa.eu/collection/semic-support-centre/solution/dcat-application-profile-data-portals-europe/release/300,https://github.com/SEMICeu/DCAT-AP,N,,Y,,Y,,7
DCP,Provides trusted data exchange mechanisms for interoperable interaction between LDTs in data spaces.,Eclipse,Decentralized Claims Protocol,v1.0.1,Protocol,Interoperability,Data spaces,"MIM3, MIM4",https://eclipse-dataspace-dcp.github.io/decentralized-claims-protocol/v1.0.1/,https://github.com/eclipse-dataspace-dcp/decentralized-claims-protocol/,N,,Y,,Y,,43
Decidim,Enables participatory processes so LDT insights can support public consultation and decision-making.,Associació de Software Lliure Decidim,Decidim,v0.31.0,Tool / implementation,Services,Local Digital Twins (LDTs),MIM8,https://docs.decidim.org/en/develop/index.html,https://github.com/decidim/decidim,N,,Y,,N,,27
deck.gl,High-performance geospatial visualisation for LDT dashboards handling large-scale spatial datasets.,vis.gl,deck.gl (WebGL-based visualization framework),v9.2.2,Tool / implementation,Visualisation,Local Digital Twins (LDTs),"MIM7, MIM8",https://deck.gl/#/,https://github.com/visgl/deck.gl,N,,Y,,N,,24
DIDs,Provide decentralised identities for systems or organisations interacting across interconnected LDTs.,W3C,Decentralized Identifiers (DIDs),v1.1,Standard,Interoperability,Interoperability,"MIM4, MIM3",https://www.w3.org/TR/did-1.0/,,,,,,Y,,92
DOME Marketplace,"Facilitates sharing of models and datasets, enabling pilots to exchange LDT components across sites.",DOME Project,Distributed Open Marketplace for Europe,,Tool / implementation,Data sources,Interoperability,"MIM3, MIM2",https://dome-marketplace.eu/dashboard,,N,,Y,,Y,,18
DSP,"Defines how data is requested, negotiated, and exchanged across LDTs within interoperable data spaces.",Eclipse,Dataspace Protocol,2025-1,Protocol,Interoperability,Data spaces,"MIM3, MIM0, MIM1",https://eclipse-dataspace-protocol-base.github.io/DataspaceProtocol/2025-1/,https://github.com/eclipse-dataspace-protocol-base/DataspaceProtocol/,Y,,Y,,Y,,44
EDC,"A connector enabling sovereign, policy-controlled data exchange across LDT deployments.",Eclipse,Eclipse Dataspace Components,,Framework,Data acquisition,Data spaces,"MIM3, MIM0, MIM1",https://eclipse-edc.github.io/documentation/,https://github.com/eclipse-edc,Y,,Y,,N,,42
EDC Community Edition by sovity,Open-source version of EDC that simplifies onboarding LDTs into data spaces.,Sovity,Eclipse Dataspace Components Community Edition by sovity,v16.2.2,Tool / implementation,Data acquisition,Data spaces,"MIM3, MIM0, MIM1",https://sovity.de/en/connect-to-data-space-en/,https://github.com/sovity/edc-ce,N,,Y,,N,,63
EDC Connector,"Establishes secure, policy-governed data-sharing channels between LDTs and external systems.",Eclipse,Eclipse Dataspace Components Connector,v0.14.0,Tool / implementation,Data acquisition,Data spaces,"MIM3, MIM0, MIM1",https://eclipse-edc.github.io/,https://github.com/eclipse-edc/Connector,N,,Y,,Y,,64
ETSI TC Data,"Develops standards for interoperable, trusted data sharing underpinning cross-LDT interactions.",ETSI,,,Standard,Interoperability,Interoperability,"MIM0, MIM1, MIM2, MIM3, MIM6, MIM7, MIM8",,,N,,Y,,N,,50
EUDI Wallet,"Enables verified credentials for secure, trusted interactions with LDT services.",European Commission,European Digital Identity Wallet,-,Framework,Interoperability,Data spaces,"MIM3, MIM4",https://ec.europa.eu/digital-building-blocks/sites/spaces/EUDIGITALIDENTITYWALLET/pages/869793973/Technical+Specifications,https://github.com/eu-digital-identity-wallet,N,,Y,,Y,,41
Fairlearn,"Ensures ML-driven LDT analytics comply with fairness, ethics, and explainability requirements.",Fairlearn Community,Fairlearn,v0.13.0,Framework,Knowledge,AI for Smart Cities,MIM8,https://fairlearn.org/,https://github.com/fairlearn/fairlearn,N,Not WS1 relevant (WS3),Y,,N,,83
FIWARE Data Space Connector,Implements data-space connectors using FIWARE components for LDT interconnection.,FIWARE,FIWARE Data Space Connector,v3.16.0,Tool / implementation,Data acquisition,Data spaces,"MIM0, MIM1, MIM3",https://github.com/FIWARE/data-space-connector/tree/main/doc,https://github.com/FIWARE/data-space-connector,Y,,Y,,Y,,8
FIWARE Draco,Performs stream-to-batch ETL to transform IoT and LDT telemetry into analytical datasets.,FIWARE,FIWARE Draco,v2.1.0,Tool / implementation,Data acquisition,Interoperability,"MIM1, MIM2, MIM3",https://fiware-draco.readthedocs.io/en/latest/,https://github.com/ging/fiware-draco,Y,,N,,N,,93
FIWARE IDAS,Manages IoT device provisioning and ingestion for the LDT’s real-time data layer.,FIWARE,FIWARE IoT Devices API and Services,-,Standard,Data sources,Local Digital Twins (LDTs),"MIM0, MIM1",https://fiwaretourguide.readthedocs.io/en/latest/iot-agents/introduction/,https://github.com/FIWARE/catalogue/tree/master/iot-agents,N,,Y,,Y,,32
Fuseki,SPARQL server enabling semantic queries over the LDT’s RDF knowledge graph.,Apache Software Foundation,Apache Jena Fuseki,-,Tool / implementation,Data acquisition,Data spaces,"MIM0, MIM1, MIM2",https://jena.apache.org/documentation/fuseki2/,https://github.com/apache/jena,N,,N,,N,,89
Gaia-X,"Provides frameworks for trustworthy, federated data infrastructure enabling cross-LDT data exchange.",Gaia-X Association for Data and Cloud AISBL,Gaia-X Architecture & Policy Framework,v2,Framework,Interoperability,Interoperability,"MIM4, MIM3, MIM8",https://docs.gaia-x.eu/#/,https://gitlab.com/gaia-x/,Y,,Y,,Y,,19
GeoJSON,Standard format for geographic features widely used in LDT spatial layers and APIs.,IETF,GeoJSON,-,Standard,Interoperability,Interoperability,MIM7,https://datatracker.ietf.org/doc/rfc7946/,,N,,Y,,Y,,17
Grafana,Supports real-time dashboards for monitoring LDT telemetry and operational KPIs.,Grafana Labs,Grafana,v12.3.0,Tool / implementation,Visualisation,Local Digital Twins (LDTs),MIM8,https://grafana.com/docs/,https://github.com/grafana/grafana,Y,,Y,,Y,,30
Hugging Face Transformers,Enables deployment of advanced AI models for prediction and analysis within LDTs.,Hugging Face,Hugging Face Transformers,v4.57.3,Tool / implementation,Knowledge,AI for Smart Cities,"MIM5, MIM8",https://huggingface.co/docs/transformers/index,https://github.com/huggingface/transformers,N,Not WS1 relevant (WS3),Y,,N,,73
IFC (openBIM),Open standard for building models enabling detailed building-level integration into LDTs.,buildingSMART International,Industry Foundation Classes (IFC),v4.3.2,Standard,Data acquisition,Local Digital Twins (LDTs),MIM7,https://standards.buildingsmart.org/IFC/RELEASE/IFC4_3/,https://github.com/buildingSMART/IFC4.3.x-development?tab=readme-ov-file,N,,Y,,Y,,52
iSHARE Trust Framework,Provides shared identity and trust rules for secure LDT data-sharing ecosystems.,,,,Framework,Interoperability,Interoperability,"MIM6, MIM4",https://framework.ishare.eu/,https://github.com/iSHAREScheme/,Y,,Y,,Y,,56
ISO 10303 STEP,Standard for product and asset data exchange supporting industrial twin interoperability.,,,,Standard,Interoperability,Interoperability,"MIM1, MIM2, MIM3",,,N,,Y,,N,,53
Jitsi Meet,Enables real-time communication interfaces within collaborative LDT tools.,,,,Tool / implementation,Services,Local Digital Twins (LDTs),,,,N,,Y,,N,,28
JSON Schema 2020-12,Validates structured data exchanged between LDT services and APIs.,,,,Standard,Interoperability,Interoperability,"MIM2, MIM1",,,N,,Y,,Y,,55
JSON-LD,Adds linked-data semantics to JSON so LDT data can interoperate through knowledge graphs.,W3C,JSON - Linked Data,v1.1,Standard,Interoperability,Interoperability,"MIM1, MIM2",https://www.w3.org/TR/json-ld11/,,Y,,Y,,Y,,9
kepler.gl,No-code geospatial analytics tool for exploring spatial data within LDTs.,,,,Tool / implementation,Services,Local Digital Twins (LDTs),"MIM7, MIM8",,,N,,Y,,N,,26
Keycloak,Provides identity and access management for LDT platforms and connected systems.,,,v26.4.1,Tool / implementation,Interoperability,Interoperability,"MIM6, MIM4",https://www.keycloak.org/documentation.html,https://github.com/keycloak/keycloak,Y,,Y,,N,,31
KServe,Serves ML models powering analytics within LDTs at scale on Kubernetes.,,,,Tool / implementation,Knowledge,AI for Smart Cities,"MIM8, MIM5",,,N,Not WS1 relevant (WS3),Y,,N,,78
KubeEdge,"Extends Kubernetes to the edge, enabling LDT components to run close to sensors and devices.",,,,Tool / implementation,Knowledge,AI for Smart Cities,"MIM0, MIM1, MIM2",,,N,,Y,,N,,35
Kubeflow,Manages ML pipelines used to train and operate predictive LDT models.,,,,Framework,Knowledge,AI for Smart Cities,"MIM0, MIM1, MIM2",,,N,,Y,,N,,45
LDF,Enables scalable querying of distributed linked-data sources within LDT knowledge graphs.,,,,Tool / implementation,Data acquisition,Data spaces,"MIM0, MIM1, MIM3",https://linkeddatafragments.org/in-depth/,https://linkeddatafragments.org/software/,Y,,N,,N,,86
LIME,Provides model interpretability for ML components used in LDT decision systems.,,,,Tool / implementation,Knowledge,AI for Smart Cities,"MIM5, MIM8",,,N,Not WS1 relevant (WS3),Y,,N,,80
MapLibre,Open-source mapping engine used to render LDT geospatial views.,,,,Tool / implementation,Visualisation,Local Digital Twins (LDTs),"MIM7, MIM8",,,N,,Y,,Y,,25
Matomo,Privacy-respecting analytics tool for monitoring usage of LDT dashboards or portals.,,,,Tool / implementation,Visualisation,,MIM4,,,N,,Y,,N,,29
MicroShift,Lightweight OpenShift distribution supporting LDT deployment at the edge.,,,,Tool / implementation,Knowledge,AI for Smart Cities,,,,N,,Y,,N,,34
MLflow,Manages the ML lifecycle and model deployments supporting LDT analytics.,,,,Framework,Knowledge,AI for Smart Cities,"MIM5, MIM8",,,N,,Y,,N,,46
MongoDB,Stores semi-structured LDT datasets using a flexible NoSQL model.,,,,Tool / implementation,Data acquisition,Local Digital Twins (LDTs),"MIM0, MIM1, MIM2",,,N,,Y,,Y,,33
NGSI-LD,Standard API for representing and managing context information across interoperable LDTs.,ETSI,Next Generation Service Interfaces - Linked Data,v1.9.1,Standard,Data acquisition,Local Digital Twins (LDTs),"MIM0, MIM1, MIM2",https://cim.etsi.org/NGSI-LD/official/front-page.html,,Y,,Y,,Y,,10
OAuth 2.0,Provides secure authorisation flows for accessing LDT APIs and services.,IETF,The OAuth 2.0 Authorization Framework,v.2.31,Framework,Interoperability,Data spaces,"MIM4, MIM6",https://datatracker.ietf.org/doc/html/rfc6749,,Y,,Y,,Y,,61
ODRL,Policy language enabling LDTs to express data-sharing rights and restrictions.,W3C,Open Digital Rights Language,v2.2,Standard,Interoperability,Data spaces,"MIM4, MIM3",https://www.w3.org/TR/odrl-model/,,Y,,Y,,Y,,11
OGC API Features,Standard API for delivering geospatial feature data to LDT applications.,OGC,Open Geospatial Consortium API - Features,v1.0.1,Standard,Interoperability,Local Digital Twins (LDTs),"MIM7, MIM0",https://docs.ogc.org/is/17-069r4/17-069r4.html,,Y,,Y,,Y,,51
OGC API Tiles,Serves tiled geospatial datasets for fast map rendering in LDT interfaces.,OGC,Open Geospatial Consortium API - Tiles,v1.0,Standard,Interoperability,Local Digital Twins (LDTs),MIM7,https://docs.ogc.org/is/20-057/20-057.html,,Y,,,,Y,,94
OID4VCI,Issues verifiable credentials for authenticating actors within LDT ecosystems.,,Verifiable Credentials?,,Protocol,Interoperability,Data spaces,"MIM3, MIM4",,,Y,,Y,,N,,39
OID4VP,Allows presentation of verifiable credentials to access or interact with LDT services.,,,,Protocol,Interoperability,Data spaces,"MIM3, MIM4",,,N,,Y,,Y,,38
OIP,Provides tools for integrating heterogeneous components and data sources within an LDT.,,Open Inference Protocol,,Protocol,Interoperability,Data spaces,MIM5,,,Y,,Y,,N,,77
OpenAPI 3.1,Standard for documenting LDT APIs so they are discoverable and interoperable.,,,,Standard,Interoperability,Data spaces,"MIM0, MIM1, MIM2, MIM3",,,Y,,Y,,N,,54
openBIM,Ensures building models are interoperable and integrate smoothly into LDT platforms.,buildingSMART International,openBIM,N/A,Tool / implementation,Interoperability,Local Digital Twins (LDTs),"MIM7, MIM8",https://www.buildingsmart.org/about/openbim/,,,,,,Y,,97
OpenID,Provides identity layers for authenticating users or services in LDT ecosystems.,,,,Protocol,Interoperability,Data spaces,"MIM4, MIM3",,,N,,Y,,N,,37
OpenID Connect Core 1.0,Defines secure authentication flows for accessing LDT services.,,,,Protocol,Interoperability,Data spaces,"MIM4, MIM3",,,Y,,Y,,N,,62
Orion-LD,FIWARE context broker managing real-time contextual information within LDTs.,,,,Tool / implementation,Orchestration,Local Digital Twins (LDTs),"MIM0, MIM1, MIM2, MIM3",https://github.com/FIWARE/context.Orion-LD/tree/develop/doc/manuals-ld,https://github.com/FIWARE/context.Orion-LD,Y,,Y,,Y,,59
OWL 2,Ontology language for modelling semantic data powering LDT knowledge graphs.,W3C,Web Ontology Language,v2.0,Standard,Interoperability,Interoperability,"MIM1, MIM2",https://www.w3.org/TR/owl2-overview/,,,,,,Y,,95
Plotly.js,Creates interactive analytical charts for LDT dashboards.,,,,Tool / implementation,Visualisation,Local Digital Twins (LDTs),MIM8,,,N,,Y,,N,,23
PostgreSQL,Robust relational database widely used for structured LDT data storage.,,,,Tool / implementation,Data acquisition,Local Digital Twins (LDTs),"MIM0, MIM1, MIM2",,,N,,Y,,Y,,20
Power BI,Business intelligence tool for exploring and communicating insights from LDT data.,,,,Tool / implementation,Visualisation,Local Digital Twins (LDTs),MIM8,,,N,,Y,,N,,12
PyTorch,Framework for developing ML models that power predictive LDT analytics.,,,,Tool / implementation,Knowledge,AI for Smart Cities,MIM5,,,N,Not WS1 relevant (WS3)Not WS1 relevant (WS3),Y,,N,,71
PyTorch Geometric,"Supports graph-based ML for network analyses in LDT contexts (e.g., mobility, utilities).",,,,Tool / implementation,Knowledge,AI for Smart Cities,"MIM1, MIM5",,,N,Not WS1 relevant (WS3),Y,,N,,74
RDF,Foundation of semantic graphs enabling data interoperability across LDT domains.,W3C,Resource Description Framework,v1.1,Standard,Data acquisition,Interoperability,"MIM1, MIM2",https://www.w3.org/TR/rdf-primer/,,Y,,Y,,N,,16
RML.io,Maps raw data into RDF so LDTs can generate semantically interoperable knowledge graphs.,,,,Tool / implementation,Data acquisition,Interoperability,"MIM1, MIM2",https://rml.io/,https://github.com/RMLio/,Y,,N,,Y,,91
Scorpio,NGSI-LD-compliant broker for interoperable context management across distributed LDTs.,,,,Tool / implementation,Orchestration,Local Digital Twins (LDTs),"MIM0, MIM1, MIM2",https://scorpio.readthedocs.io/en/latest/,https://github.com/ScorpioBroker/ScorpioBroker,Y,,Y,,Y,,60
SHAP,Provides explainability for complex ML models used in LDT forecasting or anomaly detection.,,,,Tool / implementation,Knowledge,AI for Smart Cities,MIM5,,,N,Not WS1 relevant (WS3),Y,,N,,79
SIMPL-Open,"Implements data-space principles to interconnect LDTs with controlled, policy-based data exchange.",,,,Tool / implementation,Data acquisition,Data spaces,"MIM0, MIM1, MIM2, MIM3",https://code.europa.eu/simpl/simpl-open/documentation/user-manual,https://code.europa.eu/simpl/simpl-open/development,Y,,Y,,N,,15
SIOPv2,Protocol for self-sovereign identity authentication enabling secure interactions with LDT interfaces.,,,,Protocol,Interoperability,Data spaces,"MIM4, MIM3",,,N,,Y,,N,,36
Smart Data Models,Harmonised semantic data models ensuring consistent data exchange across LDTs.,"FIWARE Foundation, IUDX, TM Forum and OASC",Smart Data Models,-,Framework,Data acquisition,Interoperability,"MIM2, MIM1",https://github.com/smart-data-models,,Y,,Y,,Y,,47
Stardog,Knowledge-graph platform for integrating heterogeneous datasets used in LDTs.,,,,Tool / implementation,Data acquisition,Interoperability,"MIM0, MIM1, MIM2",https://www.stardog.com/,,N,,N,,N,,85
Stellio,Open-source NGSI-LD digital twin platform for managing context data and twin logic.,,,,Tool / implementation,Orchestration,Interoperability,"MIM0, MIM1, MIM2",https://stellio.readthedocs.io/en/latest/,https://github.com/stellio-hub/stellio-context-broker,Y,,Y,,Y,,58
Superset,BI platform enabling LDT data exploration through dashboards and analytics.,,,,Tool / implementation,Visualisation,Local Digital Twins (LDTs),MIM8,https://superset.apache.org/docs/6.0.0/intro,https://github.com/apache/superset,Y,,Y,,Y,,13
Synth,Generates synthetic data for testing LDT models without exposing sensitive datasets.,,,,Tool / implementation,Data sources,AI for Smart Cities,"MIM5, MIM4",,,N,,Y,,N,,48
TDT,Provides secure and auditable trusted data transactions between LDTs.,CEN / CENELEC,Trusted Data Transaction,-,Protocol,Interoperability,Data spaces,"MIM0, MIM1, MIM2, MIM3",https://www.cencenelec.eu/media/CEN-CENELEC/CWAs/RI/2024/cwa18125_2024.pdf,,Y,,Y,,Y,,49
TensorFlow,"ML library powering prediction, optimisation, and simulation models in LDTs.",,,,Tool / implementation,Knowledge,AI for Smart Cities,MIM5,,,N,Not WS1 relevant (WS3),Y,,N,,72
TimescaleDB,Time-series database ideal for storing sensor telemetry in LDT environments.,,,,Tool / implementation,Data acquisition,Data platforms,"MIM0, MIM1, MIM2",,,N,,Y,,Y,,68
TM Forum Open APIs,"Standard APIs enabling integration of mobility, IoT and service-sector data with LDTs.",,,,Standard,Knowledge,Data platforms,"MIM0, MIM1, MIM3, MIM2",,,N,,Y,,Y,,40
Trino,Distributed SQL engine providing federated querying across LDT datasets.,,,,Tool / implementation,Data acquisition,Data spaces,"MIM1, MIM2, MIM3",,,N,,Y,,N,,67
Unity ML-Agents,Adds intelligent agent behaviours and simulations inside 3D digital twin environments.,,,,Tool / implementation,Knowledge,Local Digital Twins (LDTs),MIM8,,,N,Not WS1 relevant (WS3),Y,,N,,75
VC Data Model,Defines verifiable credential structures used in identity and trust interactions within LDTs.,W3C,Verifiable Credentials Data Model,v2.0,Standard,Interoperability,Interoperability,"MIM2, MIM4",https://www.w3.org/TR/vc-data-model-2.0/,,,,,,,,96
Virtuoso,High-performance RDF store supporting semantic queries for LDT data integration.,,,,Tool / implementation,Data acquisition,Data spaces,"MIM0, MIM1, MIM2",https://virtuoso.openlinksw.com/,,N,,N,,,,87
Wirecloud,Mashup platform for composing LDT dashboards from distributed data sources.,FIWARE,,,Tool / implementation,Visualisation,Local Digital Twins (LDTs),MIM8,https://wirecloud.readthedocs.io/en/stable/,https://github.com/Wirecloud/wirecloud,Y,,N,,N,,84